timestamp,accel_x,accel_y,accel_z,label
152106,0.8186,-0.0732,0.5510,normal
152111,0.6365,-0.1777,0.6885,normal
152116,-0.1477,0.0132,0.4883,normal
152121,-0.7236,0.3284,0.5061,normal
152126,-0.6680,-0.0886,0.1880,normal
152131,0.0088,-0.5754,0.1194,normal
152136,0.7112,-0.2822,0.3713,normal
152141,0.8196,-0.0549,0.6130,normal
152146,0.5334,-0.1624,0.6582,normal
152151,-0.3020,0.1042,0.4834,normal
152156,-0.7375,0.3303,0.4937,normal
152161,-0.5879,-0.2146,0.1191,normal
152166,0.1838,-0.5471,0.1819,normal
152171,0.7620,-0.1799,0.4075,normal
152176,-0.1240,-0.0100,0.4768,normal
152181,-0.7141,0.3169,0.5037,normal
152186,-0.6838,-0.0735,0.2119,normal
152191,-0.0303,-0.5952,0.1072,normal
152196,0.6887,-0.3320,0.3606,normal
152201,0.8213,-0.0222,0.6169,normal
152206,0.5671,-0.1233,0.6738,normal
152211,-0.2561,0.0962,0.4785,normal
152216,-0.7434,0.2993,0.4971,normal
152221,-0.6003,-0.2295,0.1404,normal
152226,0.1555,-0.5762,0.1619,normal
152231,0.7529,-0.1809,0.3987,normal
152236,0.8201,-0.0334,0.6438,normal
152241,0.4128,-0.1682,0.6184,normal
152246,-0.4199,0.1584,0.4780,normal
152251,-0.7571,0.2820,0.4465,normal
152256,-0.4915,-0.3010,0.1050,normal
152261,0.3159,-0.5415,0.2251,normal
152266,0.7910,-0.1428,0.4336,normal
152271,0.7747,-0.1206,0.6873,normal
152276,0.2229,-0.1243,0.5564,normal
152281,-0.5713,0.2434,0.4941,normal
152286,-0.7693,0.1807,0.3691,normal
152291,-0.3503,-0.4575,0.0786,normal
152296,0.4890,-0.4565,0.2954,normal
152301,0.8176,-0.0400,0.5127,normal
152306,0.7104,-0.1211,0.7031,normal
152311,-0.0105,-0.0808,0.5115,normal
152316,-0.6870,0.2871,0.5134,normal
152321,-0.7249,0.0063,0.2576,normal
152326,-0.1455,-0.5466,0.1023,normal
152331,0.6509,-0.3481,0.3408,normal
152336,0.8311,-0.0024,0.5796,normal
152341,0.6167,-0.1328,0.6853,normal
152346,-0.2061,0.0391,0.4873,normal
152351,-0.7441,0.3018,0.5024,normal
152356,-0.6306,-0.1624,0.1541,normal
152361,0.1069,-0.5952,0.1509,normal
152366,0.7549,-0.1819,0.3977,normal
152371,0.8281,-0.0320,0.6438,normal
152376,0.4187,-0.1909,0.6150,normal
152381,-0.4302,0.1189,0.4719,normal
152386,-0.7708,0.2722,0.4568,normal
152391,-0.4961,-0.3230,0.0996,normal
152396,0.3513,-0.5388,0.2344,normal
152401,0.8066,-0.1038,0.4553,normal
152406,0.7749,-0.0742,0.6973,normal
152411,0.1692,-0.1125,0.5347,normal
152416,-0.6218,0.2585,0.5024,normal
152421,-0.7666,0.1255,0.3347,normal
152426,-0.2947,-0.4980,0.0847,normal
152431,0.5618,-0.3967,0.3242,normal
152436,0.8438,-0.0188,0.5171,normal
152441,0.6755,-0.1521,0.6914,normal
152446,-0.1118,-0.0503,0.4956,normal
152451,-0.7197,0.3145,0.5154,normal
152456,-0.6797,-0.0740,0.2124,normal
152461,0.0027,-0.5771,0.1189,normal
152466,0.7310,-0.2512,0.3789,normal
152471,0.8472,-0.0024,0.6216,normal
152476,0.5015,-0.1421,0.6455,normal
152481,-0.3645,0.1162,0.4753,normal
152486,-0.7739,0.2808,0.4680,normal
152491,-0.5474,-0.3015,0.1113,normal
152496,0.3184,-0.5366,0.2065,normal
152501,0.8081,-0.1079,0.4485,normal
152506,0.7886,-0.0366,0.6807,normal
152511,0.1895,-0.1167,0.5544,normal
152516,-0.6216,0.2507,0.4929,normal
152521,-0.7778,0.1201,0.3418,normal
152526,-0.3076,-0.4927,0.0891,normal
152531,0.5642,-0.3965,0.3184,normal
152536,0.8252,-0.0161,0.5447,normal
152541,0.6807,-0.1584,0.6987,normal
152546,-0.1157,-0.0469,0.4893,normal
152551,-0.7273,0.3203,0.5117,normal
152556,-0.6782,-0.0740,0.2039,normal
152561,0.0173,-0.5894,0.1179,normal
152566,0.7363,-0.2656,0.3743,normal
